"filename", "language", "YAML", "TypeScript", "Handlebars", "JSON with Comments", "JavaScript", "JSON", "Docker", "Markdown", "TypeScript JSX", "XML", "MS SQL", "CSS", "Ignore", "comment", "blank", "total"
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/document/document.module.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/document/document.service.ts", "TypeScript", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 87
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/lib/crop-image.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/lib/services/hashing.service.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/mail/mail-base.service.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 51
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/mail/mail.module.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 58
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/mail/mail.service.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/mail/templates/forgot-password-email.hbs", "Handlebars", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/mail/templates/verify-email.hbs", "Handlebars", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/mail/types.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/main.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 52
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/prisma/prisma.module.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/search/search.controller.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
